feature,importance,mean_shap_value
"30d_avg_pace_7'58""",1.757988e-05,1.757988e-05
pace_t-3_6:13,1.7176895e-05,-1.7176895e-05
pace_t-4_7:47,1.706603e-05,-1.706603e-05
pace_t-2_8:47,1.67083e-05,1.67083e-05
"pace_previous_7'56""",1.619208e-05,1.619208e-05
pace_t-3_5:37,1.5836324e-05,-1.5836324e-05
"pace_previous_7'44""",1.5269054e-05,-1.5269054e-05
"pace_diff_0'27""",1.5050675e-05,-1.5050675e-05
pace_t-2_7:35,1.4638756e-05,1.4638756e-05
"pace_previous_7'25""",1.4501818e-05,-1.4501818e-05
pace_t-4_5:58,1.4163458e-05,1.4163458e-05
pace_t-3_6:04,1.3539759e-05,-1.3539759e-05
pace_t-4_7:33,1.3509105e-05,1.3509105e-05
"30d_avg_pace_5'35""",1.3494386e-05,1.3494386e-05
"30d_avg_pace_7'14""",1.3478131e-05,-1.3478131e-05
"30d_avg_pace_5'53""",1.331579e-05,1.331579e-05
"7d_avg_pace_8'29""",1.3045028e-05,-1.3045028e-05
"7d_avg_pace_8'31""",1.2997923e-05,1.2997923e-05
pace_t-2_6:44,1.2931414e-05,-1.2931414e-05
"pace_previous_4'45""",1.2867427e-05,-1.2867427e-05
pace_t-2_6:04,1.2855311e-05,-1.2855311e-05
pace_t-1_7:24,1.282248e-05,-1.282248e-05
"7d_avg_pace_6'23""",1.2779959e-05,1.2779959e-05
"pace_previous_8'24""",1.2635014e-05,1.2635014e-05
"pace_previous_5'54""",1.248261e-05,-1.248261e-05
pace_t-2_6:14,1.2269272e-05,-1.2269272e-05
pace_t-4_6:04,1.2243449e-05,-1.2243449e-05
pace_t-2_8:22,1.20609e-05,-1.20609e-05
"pace_diff_1'42""",1.20441355e-05,-1.20441355e-05
"pace_diff_0'35""",1.1865632e-05,-1.1865632e-05
"pace_previous_7'51""",1.1836666e-05,1.1836666e-05
pace_t-2_6:25,1.1693654e-05,-1.1693654e-05
"7d_avg_pace_6'46""",1.1600024e-05,-1.1600024e-05
"pace_diff_0'08""",1.1549946e-05,-1.1549946e-05
pace_t-3_5:25,1.1480469e-05,-1.1480469e-05
pace_t-4_5:34,1.1061793e-05,-1.1061793e-05
"pace_previous_8'17""",1.0578335e-05,1.0578335e-05
pace_t-2_5:41,1.0560063e-05,-1.0560063e-05
pace_t-3_6:08,1.0535775e-05,-1.0535775e-05
"pace_diff_0'04""",1.0511826e-05,-1.0511826e-05
pace_t-4_7:35,1.04810715e-05,1.04810715e-05
"pace_previous_6'43""",1.0207971e-05,-1.0207971e-05
"pace_diff_0'50""",1.0068576e-05,1.0068576e-05
"pace_diff_-0'22""",1.0007739e-05,1.0007739e-05
"pace_diff_0'05""",9.996466e-06,-9.996466e-06
"pace_diff_-0'54""",9.964408e-06,9.964408e-06
"30d_avg_pace_5'51""",9.950098e-06,9.950098e-06
"pace_diff_-1'20""",9.947305e-06,-9.947305e-06
"pace_diff_0'48""",9.569717e-06,-9.569717e-06
pace_t-2_6:36,9.353815e-06,9.353815e-06
"pace_previous_5'23""",8.909747e-06,8.909747e-06
"pace_previous_10'52""",8.8344295e-06,-8.8344295e-06
"30d_avg_pace_6'13""",8.826024e-06,-8.826024e-06
pace_t-4_8:22,8.6524815e-06,-8.6524815e-06
"pace_previous_7'20""",8.5179345e-06,-8.5179345e-06
"7d_avg_pace_5'43""",8.416144e-06,-8.416144e-06
pace_t-2_5:51,8.280963e-06,8.280963e-06
"pace_diff_-0'13""",8.231109e-06,8.231109e-06
"pace_previous_7'19""",8.183094e-06,-8.183094e-06
pace_t-3_5:21,8.156689e-06,-8.156689e-06
"pace_previous_5'22""",8.0789605e-06,-8.0789605e-06
pace_t-3_5:38,8.0686705e-06,-8.0686705e-06
"pace_previous_7'46""",8.06289e-06,8.06289e-06
"pace_previous_5'49""",8.017802e-06,-8.017802e-06
"7d_avg_pace_5'51""",7.9339725e-06,-7.9339725e-06
"pace_previous_6'05""",7.877048e-06,-7.877048e-06
pace_t-4_6:58,7.725822e-06,-7.725822e-06
pace_t-2_6:58,7.70997e-06,-7.70997e-06
"7d_avg_pace_5'39""",7.67177e-06,7.67177e-06
"pace_diff_2'09""",7.5508347e-06,7.5508347e-06
pace_t-2_5:55,7.482984e-06,7.482984e-06
"pace_previous_8'26""",7.4026734e-06,-7.4026734e-06
"pace_previous_5'44""",7.0226747e-06,-7.0226747e-06
pace_t-3_7:44,6.9479647e-06,6.9479647e-06
pace_t-3_7:57,6.6021857e-06,6.6021857e-06
pace_t-3_6:07,6.5096156e-06,-6.5096156e-06
pace_t-2_5:54,6.1654805e-06,6.1654805e-06
"pace_previous_7'31""",6.000261e-06,-6.000261e-06
"pace_previous_5'30""",5.954378e-06,-5.954378e-06
"pace_diff_1'30""",5.6960366e-06,5.6960366e-06
"7d_avg_pace_7'15""",5.4190864e-06,5.4190864e-06
"pace_previous_7'53""",5.4082616e-06,5.4082616e-06
"30d_avg_pace_6'00""",5.3690683e-06,5.3690683e-06
pace_t-2_6:07,5.32002e-06,-5.32002e-06
pace_t-4_5:51,5.262469e-06,5.262469e-06
"pace_diff_-0'01""",5.192892e-06,5.192892e-06
"7d_avg_pace_8'50""",5.030307e-06,5.030307e-06
"pace_diff_0'31""",4.982651e-06,-4.982651e-06
"7d_avg_pace_8'44""",4.9694886e-06,4.9694886e-06
pace_t-4_6:06,4.925968e-06,-4.925968e-06
pace_t-4_6:03,4.866629e-06,4.866629e-06
pace_t-3_5:36,4.862794e-06,4.862794e-06
pace_t-2_5:46,4.8198444e-06,4.8198444e-06
"pace_diff_-1'30""",4.8108245e-06,-4.8108245e-06
pace_t-4_5:20,4.8083907e-06,4.8083907e-06
pace_t-4_6:52,4.755854e-06,4.755854e-06
pace_t-3_5:52,4.555806e-06,-4.555806e-06
pace_t-1_7:34,4.543104e-06,4.543104e-06
pace_t-2_5:36,4.526971e-06,-4.526971e-06
"30d_avg_pace_8'38""",4.444856e-06,-4.444856e-06
pace_t-4_5:56,4.362956e-06,4.362956e-06
"7d_avg_pace_5'56""",4.333466e-06,4.333466e-06
"pace_previous_5'39""",4.2414013e-06,-4.2414013e-06
"30d_avg_pace_6'26""",4.222068e-06,4.222068e-06
pace_t-3_5:53,4.0478362e-06,-4.0478362e-06
"pace_diff_-0'46""",3.996562e-06,-3.996562e-06
"pace_diff_-0'34""",3.955558e-06,3.955558e-06
pace_t-2_5:52,3.9422803e-06,-3.9422803e-06
"30d_avg_pace_8'01""",3.897434e-06,3.897434e-06
"pace_diff_0'18""",3.8823437e-06,3.8823437e-06
"pace_previous_4'53""",3.816676e-06,-3.816676e-06
pace_t-2_7:33,3.502604e-06,-3.502604e-06
"pace_previous_7'38""",3.4939292e-06,3.4939292e-06
"pace_previous_7'57""",3.4642676e-06,3.4642676e-06
"pace_previous_6'11""",3.3011656e-06,-3.3011656e-06
"pace_diff_1'26""",3.2441772e-06,3.2441772e-06
"pace_previous_6'06""",3.1846089e-06,-3.1846089e-06
pace_t-1_5:51,3.1066825e-06,-3.1066825e-06
pace_t-2_6:06,3.0862866e-06,-3.0862866e-06
"pace_previous_8'03""",3.0812098e-06,3.0812098e-06
"7d_avg_pace_8'36""",2.979123e-06,2.979123e-06
pace_t-2_5:23,2.9109153e-06,2.9109153e-06
"pace_previous_6'47""",2.8514528e-06,2.8514528e-06
"pace_diff_-0'48""",2.757684e-06,-2.757684e-06
"30d_avg_pace_8'48""",2.700708e-06,2.700708e-06
pace_t-4_7:51,2.6609719e-06,2.6609719e-06
pace_t-4_5:44,2.657157e-06,-2.657157e-06
"pace_previous_8'36""",2.6015782e-06,2.6015782e-06
"pace_previous_6'15""",2.3738185e-06,-2.3738185e-06
"pace_previous_8'10""",2.3562984e-06,-2.3562984e-06
pace_t-3_7:48,2.2804923e-06,2.2804923e-06
pace_t-3_5:50,2.2080735e-06,-2.2080735e-06
pace_t-4_5:17,2.1385692e-06,-2.1385692e-06
"pace_previous_6'01""",2.0922914e-06,-2.0922914e-06
"pace_previous_8'47""",2.041472e-06,2.041472e-06
pace_t-3_5:45,2.0356804e-06,2.0356804e-06
"pace_previous_6'18""",1.96115e-06,1.96115e-06
"pace_previous_8'56""",1.9571187e-06,1.9571187e-06
"pace_previous_5'29""",1.954404e-06,1.954404e-06
"pace_previous_6'13""",1.937672e-06,-1.937672e-06
"7d_avg_pace_6'00""",1.9075806e-06,1.9075806e-06
pace_t-1_6:15,1.8753922e-06,-1.8753922e-06
"pace_diff_-0'07""",1.8499204e-06,1.8499204e-06
"7d_avg_pace_6'15""",1.8162498e-06,-1.8162498e-06
"pace_previous_5'47""",1.8162424e-06,-1.8162424e-06
"30d_avg_pace_8'22""",1.8127002e-06,-1.8127002e-06
"pace_diff_-0'26""",1.7960581e-06,-1.7960581e-06
"pace_diff_0'21""",1.7755486e-06,-1.7755486e-06
"pace_diff_-0'36""",1.7693329e-06,1.7693329e-06
"7d_avg_pace_5'40""",1.6399306e-06,-1.6399306e-06
"pace_previous_6'59""",1.6190252e-06,-1.6190252e-06
"pace_previous_5'19""",1.6000035e-06,-1.6000035e-06
"pace_diff_-0'06""",1.5510963e-06,-1.5510963e-06
"pace_previous_8'13""",1.546551e-06,-1.546551e-06
"pace_diff_0'14""",1.5331999e-06,-1.5331999e-06
pace_t-4_6:29,1.5302667e-06,-1.5302667e-06
pace_t-3_6:03,1.5069618e-06,-1.5069618e-06
pace_t-2_6:03,1.5035039e-06,-1.5035039e-06
